Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,86071,2012,29.4,59.8,59,50.6,82.6,72.4,59,52.8,39.2,29.2,37.2,30,601.2
IDCJAC0001,86071,2013,7.6,66.4,41.4,28,38,99.8,62.4,58.6,87.2,51.4,59.2,41,641
IDCJAC0001,86338,2014,13.4,22.4,21.8,68,33.8,48.8,20.2,31.4,31.2,45.8,58.2,37,432
IDCJAC0001,86338,2015,47.4,37.8,23,36.8,37.6,27.8,58,38.2,30.6,12.2,43,46.8,439.2
IDCJAC0001,86338,2016,48,9,35.6,48.6,57,54.4,64.2,61.2,87.2,63.4,31.4,39.6,599.6
IDCJAC0001,86338,2017,31.6,40.2,26.4,123.4,25,16.8,30.4,53.8,39.6,40.4,46,128.4,602
IDCJAC0001,86338,2018,65.4,1.6,23,16.4,65.6,43.2,19.4,42.8,16.4,null,97.8,104.8,null
IDCJAC0001,86338,2019,11.2,18.6,12,7.2,53.4,49.8,45.2,51.4,41,24,54.4,6.2,374.4
IDCJAC0001,86338,2020,115.2,76.2,71,138.4,66.8,29,30,61.6,33.6,74.2,48.8,42,786.8
IDCJAC0001,86338,2021,88,9.2,54.8,37,66.4,43.8,31.2,49.6,68.6,110.4,96.6,27,682.6
